らち	ɾ a̠ t͡ɕ i
アイロニー	a̠ i ɾ o̞ ɲ̟ iː
すいよう	s ɨᵝ i j o̞ː
アドバルーン	a̠ d o̞ b a̠ ɾ ɯ̟̃ᵝː ɴ
せんりゃく	s ẽ̞ n ɾʲ a̠ k ɯ̟ᵝ
ものたりない	m o̞ n o̞ t a̠ ɾʲ i n a̠ i
だいなし	d a̠ i n a̠ ɕ i
バイソン	b a̠ i s õ̞ ɴ
おおさか	o̞ː s a̠ k a̠
さがけん	s a̠ ɡ a̠ k ẽ̞ ɴ
オーストラリア	o̞ː s ɨ̥ᵝ t o̞ ɾ a̠ ɾʲ i a̠
じんるい	d͡ʑ ĩ n ɾ ɯ̟ᵝ i
くろ	k ɯ̟ᵝ ɾ o̞
しょくあたり	ɕ o̞ k ɯ̟ᵝ a̠ t a̠ ɾʲ i
じょうしょ	d͡ʑ o̞ː t͡ɕ o̞
あかみ	a̠ k a̠ mʲ i
ながつき	n a̠ ɡ a̠ t͡s ɨ̥ᵝ kʲ i
はずす	h a̠ z ɨᵝ s ɨᵝ
すいらい	s ɨᵝ i ɾ a̠ i
ニエロ	ɲ̟ i e̞ ɾ o̞
さべつ	s a̠ b e̞ t͡s ɨᵝ
りくち	ɾʲ i k ɯ̟̊ᵝ t͡ɕ i
たくみ	t a̠ k ɯ̟ᵝ mʲ i
ファットマン	ɸ a̠ t̚ t o̞ m ã̠ ɴ
きと	kʲ i t o̞
どんよう	d õ̞ ɰ̃ j o̞ː
あけ	a̠ k e̞
まるい	m a̠ ɾ ɯ̟ᵝ i
さずける	s a̠ z ɨᵝ k e̞ ɾ ɯ̟ᵝ
しんや	ɕ ĩ ɰ̃ j a̠
ハニカム	h a̠ ɲ̟ i k a̠ m ɯ̟ᵝ
しょじょきゅう	ɕ o̞ ʑ o̞ kʲ ɨᵝː
きょだい	kʲ o̞ d a̠ i
げんすう	ɡ ẽ̞ ɰ̃ s ɨᵝː
モ	m o̞
にちじょうさはん	ɲ̟ i t͡ɕ i ʑ o̞ː s a̠ h ã̠ ɴ
しょうかん	d a̠ i k ã̠ ɴ
きょうすけ	kʲ o̞ː s ɨᵝ k e̞
ならなわ	n a̠ ɾ a̠ n a̠ ɰᵝ a̠
いっせつ	i sː e̞ t͡s ɨᵝ
むす	m ɯ̟ᵝ s ɨᵝ
ただのり	t a̠ d a̠ n o̞ ɾʲ i
はらす	h a̠ ɾ a̠ s ɨᵝ
はす	h a̠ s ɨᵝ
おくう	o̞ k ɯ̟ᵝ ɯ̟ᵝ
リュージュ	ɾʲ ɨᵝː ʑ ɨᵝ
おいぼれ	o̞ i b o̞ ɾ e̞
ぜっぴん	d͡z e̞ p̚ʲ pʲ ĩ ɴ
カリ	k a̠ ɾʲ i
カード	k a̠ː d o̞
どくじ	d o̞ k ɯ̟ᵝ ʑ i
ジレー	d͡ʑ i ɾ e̞ː
じゅんぱく	d͡ʑ ɨ̃ᵝ m p a̠ k ɯ̟ᵝ
じゃり	d͡ʑ a̠ ɾʲ i
じんどう	d͡ʑ ĩ n d o̞ː
キャミソール	kʲ a̠ mʲ i s o̞ː ɾ ɯ̟ᵝ
くぐつし	k ɯ̟ᵝ ɡ ɯ̟ᵝ t͡s ɨᵝ ɕ i
おきゃくさまはかみさまです	o̞ kʲ a̠ k ɯ̟̊ᵝ s a̠ m a̠ ɰᵝ a̠ k a̠ mʲ i s a̠ m a̠ d e̞ s ɨᵝ
せたけ	s e̞ t a̠ k e̞
ほおずき	h o̞ː z ɨᵝ kʲ i
でんりゅうけい	d ẽ̞ n ɾʲ ɨᵝː k e̞ː
きょうしょ	kʲ o̞ː ɕ o̞
プチトマト	p ɯ̟̊ᵝ t͡ɕ i t o̞ m a̠ t o̞
あまぐつ	a̠ m a̠ ɡ ɯ̟ᵝ t͡s ɨᵝ
こゆうめいし	k o̞ j ɯ̟ᵝː m e̞ː ɕ i
でんでんだいこ	d ẽ̞ n d ẽ̞ n d a̠ i k o̞
ごきぶり	ɡ o̞ kʲ i b ɯ̟ᵝ ɾʲ i
そうぎ	s o̞ː ɡʲ i
エンカウント	ẽ̞ ŋ k a̠ ɯ̟̃ᵝ n t o̞
とりこ	t o̞ ɾʲ i k o̞
しんぴつ	ɕ ĩ m pʲ i t͡s ɨᵝ
ナット	n a̠ t̚ t o̞
きょうけんびょう	kʲ o̞ː k ẽ̞ m bʲ o̞ː
わごん	ɰᵝ a̠ ɡ õ̞ ɴ
ふつまし	ɸ ɯᵝ t͡s ɯᵝ m a̠ ɕ i
ていし	t e̞ː ɕ i
だんじょう	d ã̠ ɲ̟ d͡ʑ o̞ː
めのう	m e̞ n o̞ː
ヒョ	ç o̞
あんせい	ã̠ ɰ̃ s e̞ː
どうしゃ	d o̞ː ɕ a̠
ベナン	b e̞ n ã̠ ɴ
グ	ɡ ɯ̟ᵝ
ビーナス	bʲ iː n a̠ s ɨᵝ
ねっき	n e̞ k̚ʲ kʲ i
たつたあげ	t a̠ t͡s ɨᵝ t a̠ a̠ ɡ e̞
メンス	m ẽ̞ ɰ̃ s ɨᵝ
どうじ	d o̞ː ʑ i
みゃくはく	mʲ a̠ k ɯ̟ᵝ h a̠ k ɯ̟ᵝ
あいて	a̠ i t e̞
ゼブ	d͡z e̞ b ɯ̟ᵝ
らぬきことば	ɾ a̠ n ɯ̟ᵝ kʲ i k o̞ t o̞ b a̠
かっけつ	k a̠ k̚ k e̞ t͡s ɨᵝ
たんす	t ã̠ ɰ̃ s ɨᵝ
かんぬし	k ã̠ nː ɯ̟ᵝ ɕ i
キャンペーン	kʲ ã̠ m p ẽ̞ː ɴ
ちょうさ	t͡ɕ o̞ː s a̠
たいしょうぐん	t a̠ i ɕ o̞ː ɡ ɯ̟̃ᵝ ɴ
そうほう	s o̞ː h o̞ː
へび	h e̞ bʲ i
きくきん	kʲ i k ɯ̟ᵝ kʲ ĩ ɴ
しゅうがくしょう	ɕ ɨᵝː ɡ a̠ k ɯ̟ᵝ ɕ o̞ː
ファーストフード	ɸ a̠ː s ɨ̥ᵝ t o̞ ɸ ɯ̟ᵝː d o̞
ながし	n a̠ ɡ a̠ ɕ i
カテーテル	k a̠ t e̞ː t e̞ ɾ ɯ̟ᵝ
だいのうせいりがく	d a̠ i n o̞ː s e̞ː ɾʲ i ɡ a̠ k ɯ̟ᵝ
よびだす	j o̞ bʲ i d a̠ s ɨᵝ
ふみきり	ɸ ɯ̟ᵝ mʲ i kʲ i ɾʲ i
うきゅう	ɯ̟ᵝ kʲ ɨᵝː
ブラック	b ɯ̟ᵝ ɾ a̠ k̚ k ɯ̟̊ᵝ
がいせつえん	ɡ a̠ i s e̞ t͡s ɨᵝ ẽ̞ ɴ
しゅうろう	ɕ ɨᵝː ɾ o̞ː
つち	t͡s ɨᵝ t͡ɕ i
かりしゃくほう	k a̠ ɾʲ i ɕ a̠ k ɯ̟̊ᵝ h o̞ː
やぎざ	j a̠ ɡʲ i z a̠
なかだちにん	n a̠ k a̠ d a̠ t͡ɕ i ɲ̟ ĩ ɴ
そぼく	s o̞ b o̞ k ɯ̟ᵝ
いまいち	i m a̠ i t͡ɕ i
ふどう	ɸ ɯ̟ᵝ d o̞ː
ものがたる	m o̞ n o̞ ɡ a̠ t a̠ ɾ ɯ̟ᵝ
エフティーエックス	e̞ ɸ ɯ̟ᵝ tʲ iː e̞ k̚ k ɯ̟ᵝ s ɨᵝ
シミーズ	ɕ i mʲ iː z ɨᵝ
しんまい	ɕ ĩ mː a̠ i
ごくらくおうじょう	ɡ o̞ k ɯ̟ᵝ ɾ a̠ k ɯ̟ᵝ o̞ː ʑ o̞ː
つきのわぐま	t͡s ɨ̥ᵝ kʲ i n o̞ ɰᵝ a̠ ɡ ɯ̟ᵝ m a̠
たびびと	t a̠ bʲ i bʲ i t o̞
エアギター	e̞ a̠ ɡʲ i t a̠ː
げっか	ɡ e̞ k̚ k a̠
かながわけん	k a̠ n a̠ ɡ a̠ ɰᵝ a̠ k ẽ̞ ɴ
じゃこうねこ	d͡ʑ a̠ k o̞ː n e̞ k o̞
モア	m o̞ a̠
じゅうきかんじゅう	d͡ʑ ɨᵝː kʲ i k ã̠ ɲ̟ d͡ʑ ɨᵝː
さとつ	s a̠ t o̞ t͡s ɨᵝ
しんぷ	ɕ ĩ m p ɯ̟ᵝ
メチルアルコール	m e̞ t͡ɕ i ɾ ɯ̟ᵝ a̠ ɾ ɯ̟ᵝ k o̞ː ɾ ɯ̟ᵝ
がっぴ	ɡ a̠ p̚ʲ pʲ i
さよなきどり	s a̠ j o̞ n a̠ kʲ i d o̞ ɾʲ i
カウンターテナー	k a̠ ɯ̟̃ᵝ n t a̠ː t e̞ n a̠ː
あてじ	a̠ t e̞ ʑ i
てじょう	t e̞ ʑ o̞ː
たとうせいじ	t a̠ t o̞ː s e̞ː ʑ i
ふかす	ɸ ɯ̟ᵝ k a̠ s ɨᵝ
ゆしゅつ	j ɯ̟ᵝ ɕ ɨᵝ t͡s ɨᵝ
なだめる	n a̠ d a̠ m e̞ ɾ ɯ̟ᵝ
そし	s o̞ ɕ i
ちご	t͡ɕ i ɡ o̞
コントラバス	k õ̞ n t o̞ ɾ a̠ b a̠ s ɨᵝ
じょろう	d͡ʑ o̞ ɾ o̞ː
とっけん	t o̞ k̚ k ẽ̞ ɴ
きたくぶ	kʲ i t a̠ k ɯ̟ᵝ b ɯ̟ᵝ
じょうおん	d͡ʑ o̞ː õ̞ ɴ
ひけつ	ç i̥ k e̞ t͡s ɨᵝ
こんかい	k õ̞ ŋ k a̠ i
あけみ	a̠ k e̞ mʲ i
えらい	e̞ ɾ a̠ i
きょうぎかい	kʲ o̞ː ɡʲ i k a̠ i
カボチャ	k a̠ b o̞ t͡ɕ a̠
じゅうたんばくげき	d͡ʑ ɨᵝː t ã̠ m b a̠ k ɯ̟ᵝ ɡ e̞ kʲ i
けいてき	k e̞ː t e̞ kʲ i
ひとあめ	ç i̥ t o̞ a̠ m e̞
くろさい	k ɯ̟ᵝ ɾ o̞ s a̠ i
キモス	kʲ i m o̞ s ɨ̥ᵝ
まちがえる	m a̠ t͡ɕ i ɡ a̠ e̞ ɾ ɯ̟ᵝ
したごころ	ɕ i t a̠ ɡ o̞ k o̞ ɾ o̞
ねごと	n e̞ ɡ o̞ t o̞
におわす	ɲ̟ i o̞ ɰᵝ a̠ s ɨᵝ
しゅっぴ	ɕ ɨᵝ p̚ʲ pʲ i
そうそう	s o̞ː s o̞ː
ほうこくしょ	h o̞ː k o̞ k ɯ̟ᵝ ɕ o̞
びじゅつかん	bʲ i ʑ ɨᵝ t͡s ɨᵝ k ã̠ ɴ
みやぎけん	mʲ i j a̠ ɡʲ i k ẽ̞ ɴ
めせん	m e̞ s ẽ̞ ɴ
ちな	t͡ɕ i n a̠
とだえる	t o̞ d a̠ e̞ ɾ ɯ̟ᵝ
じょじょう	d͡ʑ o̞ ʑ o̞ː
かれいしゅう	k a̠ ɾ e̞ː ɕ ɨᵝː
あだ	a̠ d a̠
ししょばこ	ɕ i̥ ɕ o̞ b a̠ k o̞
わ	ɰᵝ a̠
ペンダント	p ẽ̞ n d ã̠ n t o̞
ハンドスピナー	h ã̠ n d o̞ s ɨᵝ pʲ i n a̠ː
しにんにくちなし	ɕ i ɲ̟ ĩ ɲ̟ ɲ̟ i k ɯ̟ᵝ t͡ɕ i n a̠ ɕ i
たけはる	t a̠ k e̞ h a̠ ɾ ɯ̟ᵝ
みちる	mʲ i t͡ɕ i ɾ ɯ̟ᵝ
さきおととし	s a̠ kʲ i o̞ t o̞ t o̞ ɕ i
しょうじゅつ	ɕ o̞ː ʑ ɨᵝ t͡s ɨᵝ
てつばんど	t e̞ t͡s ɨᵝ b ã̠ n d o̞
カクテルソース	k a̠ k ɯ̟̊ᵝ t e̞ ɾ ɯ̟ᵝ s o̞ː s ɨᵝ
なじむ	n a̠ ʑ i m ɯ̟ᵝ
つかいこなす	t͡s ɨᵝ k a̠ i k o̞ n a̠ s ɨᵝ
ハラッパー	h a̠ ɾ a̠ p̚ p a̠ː
さじをなげる	s a̠ ʑ i o̞ n a̠ ɡ e̞ ɾ ɯ̟ᵝ
ごいさぎ	ɡ o̞ i s a̠ ɡʲ i
ひだりがわ	ç i d a̠ ɾʲ i ɡ a̠ ɰᵝ a̠
おんけん	õ̞ ŋ k ẽ̞ ɴ
ながうた	n a̠ ɡ a̠ ɯ̟ᵝ t a̠
しとぎょうでん	ɕ i t o̞ ɡʲ o̞ː d ẽ̞ ɴ
スクールバス	s ɨ̥ᵝ k ɯ̟ᵝː ɾ ɯ̟ᵝ b a̠ s ɨᵝ
よやく	j o̞ j a̠ k ɯ̟ᵝ
ほうしょう	h o̞ː ɕ o̞ː
デザイン	d e̞ z a̠ ĩ ɴ
たくしあげる	t a̠ k ɯ̟ᵝ ɕ i a̠ ɡ a̠ ɾ ɯ̟ᵝ
へんこう	h ẽ̞ ŋ k o̞ː
ベストセラー	b e̞ s ɨᵝ t o̞ s e̞ ɾ a̠ː
ほうちょう	h o̞ː t͡ɕ o̞ː
ハイテク	h a̠ i t e̞ k ɯ̟ᵝ
えんだて	ẽ̞ n d a̠ t e̞
おそれる	o̞ s o̞ ɾ e̞ ɾ ɯ̟ᵝ
のうこん	n o̞ː k õ̞ ɴ
いたん	i t ã̠ ɴ
ほう	h o̞ː
はりたおす	h a̠ ɾʲ i t a̠ o̞ s ɨᵝ
こっし	k o̞ ɕː i
とうぎ	t o̞ː ɡʲ i
ハッシウム	h a̠ ɕː i ɯ̟ᵝ m ɯ̟ᵝ
しんしゅん	ɕ ĩ ɰ̃ ɕ ɨ̃ᵝ ɴ
かみぶくろ	k a̠ mʲ i b ɯ̟ᵝ k ɯ̟ᵝ ɾ o̞
はんばいてん	h ã̠ m b a̠ i t ẽ̞ ɴ
ふっかつさい	ɸ ɯ̟̊ᵝ k̚ k a̠ t͡s ɨ̥ᵝ s a̠ i
もっきん	m o̞ k̚ʲ kʲ ĩ ɴ
スライダー	s ɨᵝ ɾ a̠ i d a̠ː
こんとん	k õ̞ n t õ̞ ɴ
ぜったいしつど	d͡z e̞ t̚ t a̠ i ɕ i t͡s ɨᵝ d o̞
いどうへいきん	i d o̞ː h e̞ː kʲ ĩ ɴ
こうげい	k o̞ː ɡ e̞ː
エスプレッソ	e̞ s ɨ̥ᵝ p ɯ̟ᵝ ɾ e̞ sː o̞
ぜんちゅう	d͡z ẽ̞ ɲ̟ t͡ɕ ɨᵝː
どぎもをぬく	d o̞ ɡʲ i m o̞ o̞ n ɯ̟ᵝ k ɯ̟ᵝ
ベーグル	b e̞ː ɡ ɯ̟ᵝ ɾ ɯ̟ᵝ
ホームベース	h o̞ː m ɯ̟ᵝ b e̞ː s ɨᵝ
ひゃくえつ	ç a̠ k ɯ̟ᵝ e̞ t͡s ɨᵝ
ちょくちょう	t͡ɕ o̞ k ɯ̟̊ᵝ t͡ɕ o̞ː
オートクチュール	o̞ː t o̞ k ɯ̟̊ᵝ t͡ɕ ɨᵝː ɾ ɯ̟ᵝ
うそひめ	ɯ̟ᵝ s o̞ ç i m e̞
ひあがる	ç i a̠ ɡ a̠ ɾ ɯ̟ᵝ
じょうじ	d͡ʑ o̞ː ʑ i
だめでもともと	d a̠ m e̞ d e̞ m o̞ t o̞ m o̞ t o̞
がらんどう	ɡ a̠ ɾ ã̠ n d o̞ː
つんどく	t͡s ɨ̃ᵝ n d o̞ k ɯ̟ᵝ
ねんごう	n ẽ̞ ŋ ɡ o̞ː
わい	ɰᵝ a̠ i
そくめんおん	s o̞ k ɯ̟ᵝ m ẽ̞ ɰ̃ õ̞ ɴ
はっとり	h a̠ t̚ t o̞ ɾʲ i
たいすいそう	t a̠ i s ɨᵝ i s o̞ː
やすひろ	j a̠ s ɨᵝ ç i ɾ o̞
せんざいいちぐう	s ẽ̞ n d͡z a̠ i i t͡ɕ i ɡ ɯ̟ᵝː
いすか	i s ɨᵝ k a̠
でんきん	d ẽ̞ ŋʲ kʲ ĩ ɴ
くぎょう	k ɯ̟ᵝ ɡʲ o̞ː
カノン	k a̠ n õ̞ ɴ
びょうとう	bʲ o̞ː t o̞ː
もんしょう	m õ̞ ɰ̃ ɕ o̞ː
サラファン	s a̠ ɾ a̠ ɸ ã̠ ɴ
じつげん	d͡ʑ i t͡s ɨᵝ ɡ ẽ̞ ɴ
スカラベ	s ɨ̥ᵝ k a̠ ɾ a̠ b e̞
のうりつ	n o̞ː ɾʲ i t͡s ɨᵝ
いつわり	i t͡s ɨᵝ ɰᵝ a̠ ɾʲ i
みりょくてき	mʲ i ɾʲ o̞ k ɯ̟ᵝ t e̞ kʲ i
ジ	d͡ʑ i
しかく	ɕ i̥ k a̠ k ɯ̟ᵝ
さっちゅう	s a̠ t̚ t͡ɕ ɨᵝː
あご	a̠ ɡ o̞
えがお	e̞ ɡ a̠ o̞
いそしむ	i s o̞ ɕ i m ɯ̟ᵝ
へんびょうし	h ẽ̞ m bʲ o̞ː ɕ i
じゃこう	d͡ʑ a̠ k o̞ː
さんじゅうしち	s ã̠ ɲ̟ d͡ʑ ɨᵝː ɕ i t͡ɕ i
ほんしゃ	h õ̞ ɰ̃ ɕ a̠
アーク	a̠ː k ɯ̟ᵝ
むおん	m ɯ̟ᵝ õ̞ ɴ
インスタントラーメン	ĩ ɰ̃ s ɨᵝ t ã̠ n t o̞ ɾ a̠ː m ẽ̞ ɴ
にゅうし	ɲ̟ ɯ̟ᵝː ɕ i
きんりょく	kʲ ĩ n ɾʲ o̞ k ɯ̟ᵝ
サークルカット	s a̠ː k ɯ̟ᵝ ɾ ɯ̟ᵝ k a̠ t̚ t o̞
きょくひどうぶつ	kʲ o̞ k ɯ̟ᵝ ç i d o̞ː b ɯ̟ᵝ t͡s ɨᵝ
めつき	m e̞ t͡s ɨᵝ kʲ i
ゆびぬき	j ɯ̟ᵝ bʲ i n ɯ̟ᵝ kʲ i
けんせつ	k ẽ̞ ɰ̃ s e̞ t͡s ɨᵝ
どぼん	d o̞ b õ̞ ɴ
とおす	t o̞ː s ɨᵝ
そうたいろん	s o̞ː t a̠ i ɾ õ̞ ɴ
ちゅうかそば	t͡ɕ ɨᵝː k a̠ s o̞ b a̠
かくれい	k a̠ k ɯ̟ᵝ ɾ e̞ː
ほうむだいじん	h o̞ː m ɯ̟ᵝ d a̠ i ʑ ĩ ɴ
ジビエ	d͡ʑ i bʲ i e̞
きぐつ	kʲ i ɡ ɯ̟ᵝ t͡s ɨᵝ
ふいご	ɸ ɯ̟ᵝ i ɡ o̞
ないたい	n a̠ i t a̠ i
にとうきん	ɲ̟ i t o̞ː kʲ ĩ ɴ
トランスモダン	t o̞ ɾ ã̠ ɰ̃ s ɨᵝ m o̞ d ã̠ ɴ
つゆあけ	t͡s ɨᵝ j ɯ̟ᵝ a̠ k e̞
おおこうもり	o̞ː k o̞ː m o̞ ɾʲ i
ぬま	n ɯᵝ m a̠
おうえんだん	o̞ː ẽ̞ n d ã̠ ɴ
くれぐれ	k ɯ̟ᵝ ɾ e̞ ɡ ɯ̟ᵝ ɾ e̞
ナイチンゲール	n a̠ i t͡ɕ ĩ ŋ ɡ e̞ː ɾ ɯ̟ᵝ
こくちょう	k o̞ k ɯ̟̊ᵝ t͡ɕ o̞ː
つっこみ	t͡s ɨ̥ᵝ k̚ k o̞ mʲ i
とっこう	t o̞ k̚ k o̞ː
たしなめる	t a̠ ɕ i n a̠ m e̞ ɾ ɯ̟ᵝ
ばくたん	b a̠ k ɯ̟ᵝ t ã̠ ɴ
たびだち	t a̠ bʲ i d a̠ t͡ɕ i
フリーランス	ɸ ɯ̟ᵝ ɾʲ iː ɾ ã̠ ɰ̃ s ɨᵝ
きてん	kʲ i t ẽ̞ ɴ
ばくそう	b a̠ k ɯ̟̊ᵝ s o̞ː
ぜんかい	d͡z ẽ̞ ŋ k a̠ i
ほうほうろん	h o̞ː h o̞ː ɾ õ̞ ɴ
ところどころ	t o̞ k o̞ ɾ o̞ d o̞ k o̞ ɾ o̞
とし	t o̞ ɕ i
はいび	h a̠ i bʲ i
しょくちゅう	ɕ o̞ k ɯ̟ᵝ t͡ɕ ɨᵝː
まっくら	m a̠ k̚ k ɯ̟ᵝ ɾ a̠
ぬか	n ɯ̟ᵝ k a̠
げんすい	ɡ ẽ̞ ɰ̃ s ɨᵝ i
ちんぎん	t͡ɕ ĩ ŋʲ ɡʲ ĩ ɴ
さるしばい	s a̠ ɾ ɯ̟ᵝ ɕ i b a̠ i
なっとうきん	n a̠ t̚ t o̞ː kʲ ĩ ɴ
ねはん	n e̞ h ã̠ ɴ
よかつ	j o̞ k a̠ t͡s ɨᵝ
カヤック	k a̠ j a̠ k̚ k ɯ̟ᵝ
のうすいしょう	n o̞ː s ɨᵝ i ɕ o̞ː
どうもありがとう	d o̞ː m o̞ a̠ ɾʲ i ɡ a̠ t o̞ː
シナリオ	ɕ i n a̠ ɾʲ i o̞
せかいかん	s e̞ k a̠ i k ã̠ ɴ
つける	t͡s ɨᵝ k e̞ ɾ ɯ̟ᵝ
ぶどうさいばい	b ɯ̟ᵝ d o̞ː s a̠ i b a̠ i
ぎじょう	ɡʲ i ʑ o̞ː
ぐんろん	ɡ ɯ̟̃ᵝ n ɾ õ̞ ɴ
しんりがく	ɕ ĩ n ɾʲ i ɡ a̠ k ɯ̟ᵝ
りょくれんせき	ɾʲ o̞ k ɯ̟ᵝ ɾ ẽ̞ ɰ̃ s e̞ kʲ i
じたい	d͡ʑ i t a̠ i
ランド	ɾ ã̠ n d o̞
ステーキ	s ɨ̥ᵝ t e̞ː kʲ i
ステショ	s ɨᵝ t e̞ ɕ o̞
ボクシング	b o̞ k ɯ̟̊ᵝ ɕ ĩ ŋ ɡ ɯ̟ᵝ
はなし	h a̠ n a̠ ɕ i
どぶ	d o̞ b ɯ̟ᵝ
けんけい	k ẽ̞ ŋ k e̞ː
フレンチトースト	ɸ ɯ̟ᵝ ɾ ẽ̞ ɲ̟ t͡ɕ i t o̞ː s ɨᵝ t o̞
とりかご	t o̞ ɾʲ i k a̠ ɡ o̞
たしかめる	t a̠ ɕ i k a̠ m e̞ ɾ ɯ̟ᵝ
くいき	k ɯ̟ᵝ i kʲ i
おてなみ	o̞ t e̞ n a̠ mʲ i
にちりん	ɲ̟ i t͡ɕ i ɾʲ ĩ ɴ
ウェーバ	ɰᵝ e̞ː b a̠
しだいに	ɕ i d a̠ i ɲ̟ i
はいどう	h a̠ i d o̞ː
ゴルァ	ɡ o̞ ɾ ɰᵝ a̠
あわうみ	a̠ ɰᵝ a̠ ɯ̟ᵝ mʲ i
つわもの	t͡s ɨᵝ ɰᵝ a̠ m o̞ n o̞
ボールゲーム	b o̞ː ɾ ɯ̟ᵝ ɡ e̞ː m ɯ̟ᵝ
ひょろながい	ç o̞ ɾ o̞ n a̠ ɡ a̠ i
こうもりがさ	k o̞ː m o̞ ɾʲ i ɡ a̠ s a̠
たいいん	t a̠ ĩː ɴ
しゅうどう	ɕ ɨᵝː d o̞ː
くまねずみ	k ɯ̟ᵝ m a̠ n e̞ z ɨᵝ mʲ i
ぬらす	n ɯ̟ᵝ ɾ a̠ s ɨᵝ
トング	t õ̞ ŋ ɡ ɯ̟ᵝ
つくりかた	t͡s ɨ̥ᵝ k ɯ̟ᵝ ɾʲ i k a̠ t a̠
オードトワレット	o̞ː d o̞ t o̞ ɰᵝ a̠ ɾ e̞ t̚ t o̞
ばたんきゅう	b a̠ t ã̠ ŋʲ kʲ ɨᵝː
モブキャラクター	m o̞ b ɯ̟ᵝ kʲ a̠ ɾ a̠ k ɯ̟ᵝ t a̠ː
かんが	k ã̠ ŋ ɡ a̠
ほっきょくてん	h o̞ k̚ʲ kʲ o̞ k ɯ̟ᵝ t ẽ̞ ɴ
スプリッタ	s ɨᵝ p ɯ̟ᵝ ɾʲ i t̚ t a̠
わそう	ɰᵝ a̠ s o̞ː
せつど	s e̞ t͡s ɨᵝ d o̞
うわき	ɯ̟ᵝ ɰᵝ a̠ kʲ i
エルビウム	e̞ ɾ ɯ̟ᵝ bʲ i ɯ̟ᵝ m ɯ̟ᵝ
マンション	m ã̠ ɰ̃ ɕ õ̞ ɴ
ろうむかんり	ɾ o̞ː m ɯ̟ᵝ k ã̠ n ɾʲ i
かぎまわる	k a̠ ɡʲ i m a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
ペ	p e̞
うちきる	ɯ̟ᵝ t͡ɕ i kʲ i ɾ ɯ̟ᵝ
せつだん	s e̞ t͡s ɨᵝ d ã̠ ɴ
たんしゃ	t ã̠ ɰ̃ ɕ a̠
もとる	m o̞ t o̞
かきくだしぶん	k a̠ kʲ i k ɯ̟ᵝ d a̠ ɕ i b ɯ̟̃ᵝ ɴ
オバマケア	o̞ b a̠ m a̠ k e̞ a̠
ヘア	h e̞ a̠
アルファベット	a̠ ɾ ɯ̟ᵝ ɸ a̠ b e̞ t̚ t o̞
ジャグリング	d͡ʑ a̠ ɡ ɯ̟ᵝ ɾʲ ĩ ŋ ɡ ɯ̟ᵝ
ぼくせん	b o̞ k ɯ̟ᵝ s ẽ̞ ɴ
みつどもえ	mʲ i t͡s ɨᵝ d o̞ m o̞ e̞
そくじ	s o̞ k ɯ̟ᵝ ʑ i
ぼさつ	b o̞ s a̠ t͡s ɨᵝ
みらい	mʲ i ɾ a̠ i
いんぎんぶれい	ĩ ŋʲ ɡʲ ĩ m b ɯ̟ᵝ ɾ e̞ː
とうかつ	t o̞ː k a̠ t͡s ɨᵝ
のうえん	n o̞ː ẽ̞ ɴ
パフェ	p a̠ ɸ e̞
すこぶる	s ɨᵝ k o̞ b ɯ̟ᵝ ɾ ɯ̟ᵝ
サモサ	s a̠ m o̞ s a̠
スキューバ・ダイビング	s ɨ̥ᵝ kʲ ɨᵝː b a̠ d a̠ i bʲ ĩ ŋ ɡ ɯ̟ᵝ
イエネコ	i e̞ n e̞ k o̞
へや	h e̞ j a̠
いんりょう	ĩ n ɾʲ o̞ː
びっちゅう	bʲ i t̚ t͡ɕ ɨᵝː
なおさら	n a̠ o̞ s a̠ ɾ a̠
イニシアル	i ɲ̟ i ɕ i a̠ ɾ ɯ̟ᵝ
あけはなす	a̠ k e̞ h a̠ n a̠ s ɨᵝ
かいぎょう	k a̠ i ɡʲ o̞ː
タコス	t a̠ k o̞ s ɨᵝ
オスカー	o̞ s ɨ̥ᵝ k a̠ː
たもつ	t a̠ m o̞ t͡s ɨᵝ
としょしつ	t o̞ ɕ o̞ ɕ i t͡s ɨᵝ
ホスフィン	h o̞ s ɨᵝ ɸʲ ĩ ɴ
おうかん	o̞ː k ã̠ ɴ
うんどうりょう	ɯ̟̃ᵝ n d o̞ː ɾʲ o̞ː
ききいる	kʲ i kʲ iː ɾ ɯ̟ᵝ
あんこくぶっしつ	ã̠ ŋ k o̞ k ɯ̟ᵝ b ɯ̟ᵝ ɕː i̥ t͡s ɨᵝ
プレス	p ɯ̟ᵝ ɾ e̞ s ɨᵝ
ニジェール	ɲ̟ i ʑ e̞ː ɾ ɯ̟ᵝ
がっしゅく	ɡ a̠ ɕː ɯ̟ᵝ k ɯ̟ᵝ
めんぼう	m ẽ̞ m b o̞ː
だんしょく	d ã̠ ɰ̃ ɕ o̞ k ɯ̟ᵝ
ぜつないおん	z e t s u n a i o n
にくらしい	ɲ̟ i k ɯ̟ᵝ ɾ a̠ ɕ iː
にっしんげっぽ	ɲ̟ i ɕː ĩ ŋ ɡ e̞ p̚ p o̞
いんじゃ	ĩ ɲ̟ d͡ʑ a̠
まんまるい	m ã̠ mː a̠ ɾ ɯ̟ᵝ i
わたる	ɰᵝ a̠ t a̠ ɾ ɯ̟ᵝ
しょしゅ	ɕ o̞ ɕ ɨᵝ
ちかづく	t͡ɕ i k a̠ z ɨᵝ k ɯ̟ᵝ
