らち	ɾ a t͡ɕ i
あんさつ	ã ɰ s a t͡s ɨ
いわなみ	i ɰ a n a mʲ i
がんばる	ɡ ã m b a ɾ ɯ
つめかみ	t͡s ɨ m e k a mʲ i
あいき	a i kʲ i
みうける	mʲ i ɯ k e ɾ ɯ
もえる	m o e ɾ ɯ
よこたて	j o k o t a t e
リボルバー	ɾʲ i b o ɾ ɯ b a
おそそ	o s o s o
さわ	s a ɰ a
しゅうぎょうしゃ	ɕ ɨ ɡʲ o ɕ a
ならす	n a ɾ a s ɨ
しほう	ɕ i h o
だっきゅう	d a k̚ʲ kʲ ɨ
ねんちょう	n ẽ ɲ t͡ɕ o
すみ	s ɨ mʲ i
しらは	ɕ i ɾ a h a
ねつぞう	n e t͡s ɨ z o
すべる	s ɨ b e ɾ ɯ
べんじょ	b ẽ ɲ d͡ʑ o
りょういき	ɾʲ o i kʲ i
セレナーデ	s e ɾ e n a d e
いじんしゅかん	i ʑ ĩ ɰ ɕ ɨ k ã ɴ
とうめい	t o m e
ちゃ	t͡ɕ a
いう	i ɯ
しらはた	ɕ i ɾ a h a t a
にがおえ	ɲ i ɡ a o e
はなわ	h a n a w a
ねっきょう	n e k̚ʲ kʲ o
すける	s ɨ k e ɾ ɯ
ラード	ɾ a d o
なわとび	n a ɰ a t o bʲ i
ぐうているい	ɡ ɯ t e ɾ ɯ i
ぎりょう	ɡʲ i ɾʲ o
もんがまえ	m õ ŋ ɡ a m a e
こうきょうきょく	k o kʲ o kʲ o k ɯ
ドギーバッグ	d o ɡʲ i b a ɡ̚ ɡ ɯ
ゼミナール	d͡z e mʲ i n a ɾ ɯ
らんご	ɾ ã ŋ ɡ o
よき	j o kʲ i
くへんとう	k ɯ h ẽ n t o
まにゅう	m a ɲ ɯ
コップ	k o p̚ p ɯ
ひうちいし	ç i ɯ t͡ɕ i i ɕ i
すず	s ɨ z ɨ
ちょうじかん	t͡ɕ o ʑ i k ã ɴ
ほうこ	h o k o
ながのけん	n a ɡ a n o k ẽ ɴ
きょうどうしゅっし	kʲ o d o ɕ ɨ ɕ i
だいたいきんまく	d a i t a i kʲ ĩ m a k ɯ
ティモール	tʲ i m o ɾ ɯ
バレリーナ	b a ɾ e ɾʲ i n a
いもうとぶん	i m o t o b ɯ ɴ
しょうぎだおし	ɕ o ɡʲ i d a o ɕ i
けちらす	k e t͡ɕ i ɾ a s ɨ
しょうぎ	ɕ o ɡʲ i
へやちゃく	h e j a t͡ɕ a k ɯ
たちうお	t a t͡ɕ i ɯ o
ごじゅん	ɡ o ʑ ɨ ɴ
はめつ	h a m e t͡s ɨ
まどい	m a d o i
ちゅうとうきょういくがっこう	t͡ɕ ɨ t o kʲ o i k ɯ ɡ a k̚ k o
さいかくにん	s a i k a k ɯ ɲ ĩ ɴ
ヴィ	bʲ i
くめい	k ɯ m e
どくむし	d o k ɯ m ɯ ɕ i
いちごん	i t͡ɕ i ɡ õ ɴ
シンバル	ɕ ĩ m b a ɾ ɯ
モラルハラスメント	m o ɾ a ɾ ɯ h a ɾ a s ɨ m ẽ n t o
ラトヴィア	ɾ a t o bʲ i a
にさんかたんそ	ɲ i s ã ŋ k a t ã ɰ s o
カプサイシン	k a p ɯ s a i ɕ ĩ ɴ
たまったものではない	t a m a t̚ t a m o n o d e ɰ a n a i
コヨーテ	k o j o t e
ていこくしゅぎ	t e k o k ɯ  ɕ ɨ ɡʲ i
せんぼうきょう	s ẽ m b o kʲ o
たくばつ	t a k ɯ b a t͡s ɨ
かわかす	k a ɰ a k a s ɨ
ときはなつ	t o kʲ i h a n a t͡s ɨ
ペントハウス	p ẽ n t o h a ɯ s ɨ
ますいやく	m a s ɨ i j a k ɯ
へんとうせん	h ẽ n t o s ẽ ɴ
あんぜん	ã n d͡z ẽ ɴ
みらいは	mʲ i ɾ a i h a
うちのめす	ɯ t͡ɕ i n o m e s ɨ
いんぎん	ĩ ŋʲ ɡʲ ĩ ɴ
はいいろぐま	h a i i ɾ o ɡ ɯ m a
ばくえき	b a k ɯ e kʲ i
たいそう	t a i s o
えんぎ	ẽ ŋʲ ɡʲ i
ぺらぺら	p e ɾ a p e ɾ a
せいめい	s e m e
ランゲージ	ɾ ã ŋ ɡ e ʑ i
もくてきご	m o k ɯ t e kʲ i ɡ o
ぞんしん	d͡z õ ɰ ɕ ĩ ɴ
ごちゃごちゃ	ɡ o t͡ɕ a ɡ o t͡ɕ a
たんれん	t ã n ɾ ẽ ɴ
だいすう	d a i s ɨ
おうりょくしょく	o ɾʲ o k ɯ ɕ o k ɯ
じゅう	d͡ʑ ɨ
としうえ	t o ɕ i ɯ e
トライ	t o ɾ a i
めんもく	m ẽ m o k ɯ
あまがえる	a m a ɡ a e ɾ ɯ
しゅうごうろん	ɕ ɨ ɡ o ɾ õ ɴ
ひろげる	ç i ɾ o ɡ e ɾ ɯ
ざまみろ	d͡z a m a mʲ i ɾ o
かかす	k a k a s ɨ
ふうふ	ɸ ɯ ɸ ɯ
さつえいき	s a t͡s ɨ e kʲ i
ちゅういがく	t͡ɕ ɨ i ɡ a k ɯ
びよう	bʲ i j o
まさお	m a s a o
スカーフ	s ɨ k a ɸ ɯ
で	d e
チアジン	t͡ɕ i a ʑ ĩ ɴ
おんよみ	õ ɰ j o mʲ i
いしだて	i ɕ i d a t e
けっこん	k e k̚ k õ ɴ
むひょうじょう	m ɯ ç o ʑ o
じゅしょうしき	d͡ʑ ɨ ɕ o ɕ i kʲ i
じんずう	d͡ʑ i ɴ z u͍
じょがい	d͡ʑ o ɡ a i
まな	m a n a
りか	ɾʲ i k a
あのよ	a n o j o
きょくめい	kʲ o k ɯ m e
いわしくじら	i ɰ a ɕ i k ɯ ʑ i ɾ a
しろふくろう	ɕ i ɾ o ɸ ɯ k ɯ ɾ o
いちいんせい	i t͡ɕ i ĩ ɰ s e
ぶじ	b ɯ ʑ i
しゅくふく	ɕ ɨ k ɯ ɸ ɯ k ɯ
さいでん	s a i d ẽ ɴ
ローブデコルテ	ɾ o b ɯ d e k o ɾ ɯ t e
ポテンシャルエネルギー	p o t ẽ ɰ ɕ a ɾ ɯ e n e ɾ ɯ ɡʲ i
さんした	s ã ɰ ɕ i t a
シュンツ	ɕ ɨ n t͡s ɨ
きょくや	kʲ o k ɯ j a
ピラゾール	pʲ i ɾ a z o ɾ ɯ
さいひょう	s a i ç o
のぼりざか	n o b o ɾʲ i z a k a
ピグミーチンパンジー	pʲ i ɡ ɯ mʲ i t͡ɕ ĩ m p ã ɲ d͡ʑ i
さいばし	s a i b a ɕ i
けきぜん	k e kʲ i z ẽ ɴ
さんしゃたくいつ	s ã ɰ ɕ a t a k ɯ i t͡s ɨ
ボールペン	b o ɾ ɯ p ẽ ɴ
とける	t o k e ɾ ɯ
うめあわせ	ɯ m e a ɰ a s e
オンマイタレイヤソワカ	õ m m a i t a ɾ e j a s o ɰ a k a
たいさ	t a i s a
たかまのはら	t a k a m a n o h a ɾ a
コンテ	k õ n t e
そうらん	s o ɾ ã ɴ
きょうめい	kʲ o m e
ホッケー	h o k̚ k e
ひつ	ç i t͡s ɨ
ゆきおんな	j ɯ kʲ i õ n a
コーン	k õ ɴ
とうてい	t o t e
いぜんけい	i z ẽ ŋ k e
ヘッドホン	h e d̚ d o h õ ɴ
ほれぼれ	h o ɾ e b o ɾ e
ちょうせんみんしゅしゅぎじんみんきょうわこく	t͡ɕ o s ẽ m mʲ ĩ ɰ ɕ ɨ  ɕ ɨ ɡʲ i d͡ʑ ĩ mʲ ĩ ŋ ʲkʲ o ɰ a k o k ɯ
こちょうせん	k o t͡ɕ o s ẽ ɴ
いいずな	i z ɨ n a
じゅんきょう	d͡ʑ ɨ ŋʲ kʲ o
おこたる	o k o t a ɾ ɯ
トマト	t o m a t o
ないか	n a i k a
ふたしか	ɸ ɯ t a ɕ i k a
らくだいてん	ɾ a k ɯ d a i t ẽ ɴ
ちょうてん	t͡ɕ o t ẽ ɴ
まっしょうめん	m a ɕ o m ẽ ɴ
りょくちたい	ɾʲ o k ɯ t͡ɕ i t a i
かかみがはら	k a k a mʲ i ɡ a h a ɾ a
はいせんしゃ	h a i s ẽ ɰ ɕ a
たとえばなし	t a t o e b a n a ɕ i
けいこうかんせん	k e k o k ã ɰ s ẽ ɴ
どっから	d o k̚ k a ɾ a
おまんこ	o m ã ŋ k o
パルプ・フィクション	p a ɾ ɯ p ɯ ɸʲ i k ɯ ɕ õ ɴ
グォ	ɡ ɰ o
どうたい	d o t a i
さいしょく	s a i ɕ o k ɯ
ちちおさえ	t͡ɕ i t͡ɕ i o s a e
ぶりっこ	b ɯ ɾʲ i k̚ k o
くちぶり	k ɯ t͡ɕ i b ɯ ɾʲ i
ひかり	ç i k a ɾʲ i
ハヤシライス	h a j a ɕ i ɾ a i s ɨ
きょうきん	kʲ o kʲ ĩ ɴ
てきだん	t e kʲ i d ã ɴ
ことざ	k o t o z a
ぐらい	ɡ ɯ ɾ a i
かくげん	m e ɡ ẽ ɴ
とっきょ	t o k̚ʲ kʲ o
うかんむり	ɯ k ã m ɯ ɾʲ i
フォーク	ɸ o k ɯ
びょういん	bʲ o ĩ ɴ
アイデンティティ	a i d ẽ n tʲ i tʲ i
ポーランド	p o ɾ ã n d o
はんだくてん	h ã n d a k ɯ t ẽ ɴ
よびこう	j o bʲ i k o
こしぬけ	k o ɕ i n ɯ k e
おにぎり	o ɲ i ɡʲ i ɾʲ i
ゆうり	j ɯ ɾʲ i
よ	j o
あいしんかくら	a i ɕ ĩ ŋ k a k ɯ ɾ a
さなだひも	s a n a d a ç i m o
なごや	n a ɡ o j a
むろまち	m u͍ ɽ o m a t͡ɕ i
もうしわけありません	m o ɕ i ɰ a k e a ɾʲ i m a s ẽ ɴ
へいぼん	h e b õ ɴ
コンテンツ	k õ n t ẽ n t͡s ɨ
うかべる	ɯ k a b e ɾ ɯ
なげやり	n a ɡ e j a ɾʲ i
ヱ	e
オキサゾール	o kʲ i s a z o ɾ ɯ
ただいま	t a d a i m a
おなじ	o n a ʑ i
すいぎゅう	s ɨ i ɡʲ ɨ
そんする	s õ ɰ s ɨ ɾ ɯ
とくほん	t o k ɯ h õ ɴ
かんち	k ã ɲ t͡ɕ i
シータ	ɕ i t a
しらかわ	ɕ i ɾ a k a ɰ a
ワラタ	ɰ a ɾ a t a
ローション	ɾ o ɕ õ ɴ
しゅうせいしゅぎ	ɕ ɨ s e ɕ ɨ ɡʲ i
あねったい	a n e t̚ t a i
ねこめいし	n e k o m e i ɕ i
ぶん	b ɯ ɴ
せんたい	s ẽ n t a i
ラムネ	ɾ a m ɯ n e
トランス	t o ɾ ã ɰ s ɨ
ざいりょう	d͡z a i ɾʲ o
ころし	k o ɾ o ɕ i
かんげんがく	k ã ŋ ɡ ẽ ŋ ɡ a k ɯ
けいもう	k e m o
かれの	k a ɾ e n o
フナフティ	ɸ ɯ n a ɸ ɯ tʲ i
ゆうめい	j ɯ m e
きんじつ	kʲ ĩ ɲ d͡ʑ i t͡s ɨ
えんまん	ẽ m ã ɴ
さし	s a ɕ i
ロックアウト	ɾ o k̚ k ɯ a ɯ t o
アルファ	a ɾ ɯ ɸ a
じょうく	d͡ʑ o k ɯ
こうしょきょうふしょう	k o ɕ o kʲ o ɸ ɯ ɕ o
せいちょう	s e t͡ɕ o
きゅうとう	kʲ ɨ t o
にゅうせん	ɲ ɯ s ẽ ɴ
しちょう	ɕ i t͡ɕ o
とうげん	t o ɡ ẽ ɴ
きょうりょう	kʲ o ɾʲ o
インフレーション	ĩ ɰ ɸ ɯ ɾ e ɕ õ ɴ
あめもよう	a m e m o j o
ひし	ç i ɕ i
コリアンダー	k o ɾʲ i ã n d a
かがくしゃ	k a ɡ a k ɯ ɕ a
ブルーハワイ	b ɯ ɾ ɯ h a ɰ a i
どくじゃ	d o k ɯ ʑ a
びこう	bʲ i k o
げんきょく	ɡ ẽ ŋʲ kʲ o k ɯ
みんしゅしゅぎ	mʲ ĩ ɰ ɕ ɨ ɕ ɨ ɡʲ i
トイペ	t o i p e
しゅつるい	ɕ ɨ t͡s ɨ ɾ ɯ i
がいしん	ɡ a i ɕ ĩ ɴ
つづけじ	t͡s ɨ z ɨ k e ʑ i
ずらす	d͡z ɨ ɾ a s ɨ
てがける	t e ɡ a k e ɾ ɯ
ちにく	t͡ɕ i ɲ i k ɯ
くろい	k ɯ ɾ o i
グラフィック	ɡ ɯ ɾ a ɸʲ i k̚ k ɯ
てらす	t e ɾ a s ɨ
じょうふう	d͡ʑ o ɸ ɯ
やくがく	j a k ɯ ɡ a k ɯ
そっきん	s o k̚ʲ kʲ ĩ ɴ
にちじょう	ɲ i t͡ɕ i ʑ o
てんもんがく	t ẽ m õ ŋ ɡ a k ɯ
はくぎょくろう	h a k ɯ ɡʲ o k ɯ ɾ o
しょっきだな	ɕ o k̚ʲ kʲ i d a n a
せきぐん	s e kʲ i ɡ ɯ ɴ
てんどう	t ẽ n d o
トイレ	t o i ɾ e
ぶっころす	b ɯ k̚ k o ɾ o s ɨ
サーターアンダーギー	s a t a ã n d a ɡʲ i
あおぎり	a o ɡʲ i ɾʲ i
こまち	k o m a t͡ɕ i
かわさき	k a ɰ a s a kʲ i
してん	ɕ i t ẽ ɴ
ほんちょ	h õ ɴ t͡ɕʲ o
ジャガー	d͡ʑ a ɡ a
しっぴつ	ɕ i p̚ʲ pʲ i t͡s ɨ
ぎょうし	ɡʲ o ɕ i
あかるむ	a k a ɾ ɯ m ɯ
じっき	d͡ʑ i k̚ʲ kʲ i
しんじゅう	ɕ ĩ ɲ d͡ʑ ɨ
ちゅうじょう	t͡ɕ ɨ ʑ o
ミンク	mʲ ĩ ŋ k ɯ
わらじむし	ɰ a ɾ a ʑ i m ɯ ɕ i
こうけん	k o k ẽ ɴ
がまんづよい	ɡ a m ã n d͡z ɨ j o i
そらす	s o ɾ a s ɨ
ちくしょう	t͡ɕ i k ɯ ɕ o
きごうろん	kʲ i ɡ o ɾ õ ɴ
かみにだんかつよう	k a mʲ i ɲ i d ã ŋ k a t͡s ɨ j o
みずすまし	mʲ i z ɨ s ɨ m a ɕ i
にほんかいりゅう	ɲ i h õ ŋ k a i ɾʲ ɨ
ビーチサンダル	bʲ i t͡ɕ i  s ã n d a ɾ ɯ
どうらん	d o ɾ ã ɴ
かっそうろ	k a s o ɾ o
ソール	s o ɾ ɯ
ぺちゃくちゃ	p e t͡ɕ a k ɯ t͡ɕ a
ごじゅうおん	ɡ o ʑ ɨ õ ɴ
おちつける	o t͡ɕ i t͡s ɨ k e ɾ ɯ
こうせいちゅう	k o s e t͡ɕ ɨ
れんごく	ɾ ẽ ŋ ɡ o k ɯ
はんえい	h ã ɰ e
ふくめん	ɸ ɯ k ɯ m ẽ ɴ
ブリュッセル	b ɯ ɾʲ ɨ s e ɾ ɯ
ひりき	ç i ɾʲ i kʲ i
ヴァイキング	b a i kʲ ĩ ŋ ɡ ɯ
ふくすう	ɸ ɯ k ɯ s ɨ
の	n o
げんしゅ	ɡ ẽ ɰ ɕ ɨ
サッカー	s a k̚ k a
べいこくでんきでんしがっかい	b e k o k ɯ d ẽ ŋʲ kʲ i d ẽ ɰ ɕ i ɡ a k̚ k a i
れきじょ	ɾ e kʲ i ʑ o
ソクラテス	s o k ɯ ɾ a t e s ɨ
かめ	k a m e
ゆうし	j ɯ ɕ i
はこせこ	h a k o s e k o
だいそれた	d a i s o ɾ e t a
じどうげんきんよはらいき	d͡ʑ i d o ɡ ẽ ŋʲ kʲ ĩ ɰ j o h a ɾ a i kʲ i
ことなかれしゅぎ	k o t o n a k a ɾ e ɕ ɨ ɡʲ i
グリコシド	ɡ ɯ ɾʲ i k o ɕ i d o
はなむけ	h a n a m ɯ k e
ふすう	ɸ ɯ s ɨ
とくばい	t o k ɯ b a i
わた	ɰ a t a
ちる	t͡ɕ i ɾ ɯ
おまかせ	o m a k a s e
こしょう	k o ɕ o
まねき	m a n e kʲ i
ぎんがけい	ɡʲ ĩ ŋ ɡ a k e
そくせんりょく	s o k ɯ s ẽ n ɾʲ o k ɯ
じんらい	d͡ʑ ĩ n ɾ a i
がん	ɡ ã ɴ
じゅんぺい	d͡ʑ ɨ m p e
ばくふ	b a k ɯ ɸ ɯ
シティポップ	ɕ i tʲ i p o p̚ p ɯ
きとう	kʲ i t o
したちち	ɕ i t a t͡ɕ i t͡ɕ i
マゼラン	m a z e ɾ ã ɴ
あおじゃしん	a o ʑ a ɕ ĩ ɴ
ドライクリーニング	d o ɾ a i k ɯ ɾʲ i ɲ ĩ ŋ ɡ ɯ
しきがみ	ɕ i kʲ i ɡ a mʲ i
げんぶ	ɡ ẽ m b ɯ
ソフトウェア	s o ɸ ɯ t o ɰ e a
すずめが	s ɨ z ɨ m e ɡ a
つれきたる	t͡s ɨ ɾ e k ɯ ɾ ɯ
じょうよ	d͡ʑ o j o
マニア	m a ɲ i a
でんげき	d ẽ ŋ ɡ e kʲ i
すてき	s ɨ t e kʲ i
ざっし	d͡z a ɕ i
はばち	h a b a t͡ɕ i
フクシア	ɸ ɯ k ɯ ɕ i a
あしゆ	a ɕ i j ɯ
アムールトラ	a m ɯ ɾ ɯ t o ɾ a
そろう	s o ɾ o ɯ
スズ	s ɨ z ɨ
めをひからせる	m e o ç i k a ɾ a s e ɾ ɯ
プーマ	p ɯ m a
じもん	d͡ʑ i m õ ɴ
すねる	s ɨ n e ɾ ɯ
ちりがく	t͡ɕ i ɾʲ i ɡ a k ɯ
ギュ	ɡʲ ɨ
ゆうよ	j ɯ j o
たいきょく	t a i kʲ o k ɯ
マレット	m a ɾ e t̚ t o
サイゴン	s a i ɡ õ ɴ
ちしき	t͡ɕ i ɕ i kʲ i
しきゅう	ɕ i kʲ ɨ
どうして	d o ɕ i t e
ざん	d͡z ã ɴ
てにをは	t e ɲ i o h a
できる	d e kʲ i ɾ ɯ
シュノーケル	ɕ ɨ n o k e ɾ ɯ
たいりゅうけん	t a i ɾʲ ɨ k ẽ ɴ
オノマトペ	o n o m a t o p e
ひのき	ç i n o kʲ i
がくぶち	ɡ a k ɯ b ɯ t͡ɕ i
にゅうどう	ɲ ɯ d o
むらさきいろ	m ɯ ɾ a s a kʲ i i ɾ o
ナビ	n a bʲ i
ぞうしゅうわい	d͡z o ɕ ɨ ɰ a i
いっぱつや	i p̚ p a t͡s ɨ j a
わしゃ	ɰ a ɕ a
バニーガール	b a ɲ i ɡ a ɾ ɯ
ぎゅうじる	ɡʲ ɨ ʑ i ɾ ɯ
いろり	i ɾ o ɾʲ i
まるまる	m a ɾ ɯ m a ɾ ɯ
しんけい	ɕ ĩ ŋ k e
とどく	t o d o k ɯ
むすいぶつ	m ɯ s ɨ i b ɯ t͡s ɨ
がくしゃ	ɡ a k ɯ ɕ a
あんた	ã n t a
むのう	m ɯ n o
パパ	p a p a
そこなう	s o k o n a ɯ
ヘイター	h e t a
わせいえいご	ɰ a s e e ɡ o
きょろきょろ	kʲ o ɾ o kʲ o ɾ o
がんねん	ɡ ã n ẽ ɴ
でんしけんびきょう	d ẽ ɰ ɕ i  k ẽ m bʲ i kʲ o
へいじょう	h e ʑ o
にんめん	ɲ ĩ m ẽ ɴ
とくさつ	t o k ɯ s a t͡s ɨ
ディスレクシア	dʲ i s ɨ ɾ e k ɯ ɕ i a
そもじ	s o m o ʑ i
かけら	k a k e ɾ a
なかみ	n a k a mʲ i
ビッチ	bʲ i t̚ t͡ɕ i
やきば	j a kʲ i b a
つとまる	t͡s ɨ t o m a ɾ ɯ
あかふじ	a k a ɸ ɯ ʑ i
せまる	s e m a ɾ ɯ
むせい	m ɯ s e i
ビーグル	bʲ i ɡ ɯ ɾ ɯ
きつ	t͡ɕ i
びゃくだんゆ	bʲ a k ɯ d ã ɰ j ɯ
ばいてん	b a i t ẽ ɴ
じあん	d͡ʑ i ã ɴ
タッチダウン	t a t̚ t͡ɕ i d a ɯ ɴ
ろうかく	ɾ o k a k ɯ
すずり	s ɨ z ɨ ɾʲ i
はちすか	h a t͡ɕ i s ɨ k a
なまける	n a m a k e ɾ ɯ
ばんかい	b ã ŋ k a i
とくしょく	t o k ɯ ɕ o k ɯ
うそこく	ɯ s o k o k ɯ
かわらばと	k a ɰ a ɾ a b a t o
あいご	a i ɡ o
かんぽう	k ã m p o
かいようおせん	k a i j o o s ẽ ɴ
ベータカロテン	b e t a k a ɾ o t ẽ ɴ
こぶはくちょう	k o b ɯ h a k ɯ t͡ɕ o
おまいう	o m a i ɯ
にゅうしょくしゃ	ɲ ɯ ɕ o k ɯ ɕ a
べ	b e
そうしょ	s o ɕ o
スター	s ɨ t a
にがわらい	ɲ i ɡ a ɰ a ɾ a i
イリジウム	i ɾʲ i ʑ i ɯ m ɯ
ポリウレタン	p o ɾʲ i ɯ ɾ e t ã ɴ
ペイント	p ẽ n t o
きゅうへい	kʲ ɨ h e
トランプゲーム	t o ɾ ã m p ɯ ɡ e m ɯ
まあ	m a
びせいぶつがく	bʲ i s e b ɯ t͡s ɨ ɡ a k ɯ
バレーボール	b a ɾ e b o ɾ ɯ
しようがない	ɕ i j o ɡ a n a i
オンラインストア	õ n ɾ a ĩ ɰ s ɨ t o a
しぶい	ɕ i b ɯ i
なんにち	n ã ɲ ɲ i t͡ɕ i
さいきんがく	s a i kʲ ĩ ŋ ɡ a k ɯ
たてざ	t a t e z a
マニラ	m a ɲ i ɾ a
しゃかいかがく	ɕ a k a i k a ɡ a k ɯ
じんみんみんしゅどくさい	d͡ʑ ĩ mʲ ĩ mʲ ĩ ɰ ɕ ɨ d o k ɯ s a i
ほうこう	h o k o
にんたい	ɲ ĩ n t a i
じしゃ	d͡ʑ i ɕ a
しゅうしょう	ɕ ɨ ɕ o
ランタニド	ɾ ã n t a ɲ i d o
ダッシュボード	d a ɕ ɯ b o d o
じゅぎょうさんかん	d͡ʑ ɨ ɡʲ o s ã ŋ k ã ɴ
たからか	t a k a ɾ a k a
ちそう	t͡ɕ i s o
らぬき	ɾ a n ɯ kʲ i
とりしまりやくかい	t o ɾʲ i ɕ i m a ɾʲ i j a k ɯ k a i
りさい	ɾʲ i s a i
はんのう	h ã n o
そうそうふいつ	s o s o ɸ ɯ i t͡s ɨ
チャリ	t͡ɕ a ɾʲ i
そうしょくどうぶつ	s o ɕ o k ɯ d o b ɯ t͡s ɨ
はるまき	h a ɾ ɯ m a kʲ i
メッセージ	m e s e ʑ i
じょうきあつ	d͡ʑ o kʲ i a t͡s ɨ
としつき	t o ɕ i t͡s ɨ kʲ i
ながでんわ	n a ɡ a d ẽ ɰ ɰ a
せんせんふこく	s ẽ ɰ s ẽ ɰ ɸ ɯ k o k ɯ
クリノリン	k ɯ ɾʲ i n o ɾʲ ĩ ɴ
ひきゅう	ç i kʲ ɨ
ざやく	z a j a k ɯ
ぎどうさんし	ɡʲ i d o s ã ɰ ɕ i
あおな	a o n a
グロ	ɡ ɯ ɾ o
デュ	dʲ ɨ
のらねこ	n o ɾ a n e k o
スーパーマン	s ɨ p a m ã ɴ
かたまる	k a t a m a ɾ ɯ
みかず	s ã ɰ i t͡ɕ i
まっぷたつ	m a p̚ p ɯ t a t͡s ɨ
しきちない	ɕ i kʲ i t͡ɕ i n a i
じんい	d͡ʑ ĩ ɰ i
せっき	s e k̚ʲ kʲ i
いじめる	i ʑ i m e ɾ ɯ
じょうおんかくゆうごう	d͡ʑ o õ ɴ k ä ɯ j ɯ ɡ o
たしか	t a ɕ i k a
なあなあ	n a n a
アナグラム	a n a ɡ ɯ ɾ a m ɯ
スペシャリスト	s ɨ p e ɕ a ɾʲ i s ɨ t o
わし	ɰ a ɕ i
たびさき	t a bʲ i s a kʲ i
しぜんせんたく	ɕ i z ẽ ɰ s ẽ n t a k ɯ
はごいた	h a ɡ o i t a
ざっか	d͡z a k̚ k a
クレカ	k ɯ ɾ e k a
パール	p a ɾ ɯ
みせかける	mʲ i s e k a k e ɾ ɯ
ほういかく	h o i k a k ɯ
ごけんてい	ɡ o k ẽ n t e
しょばつ	ɕ o b a t͡s ɨ
イコライザ	i k o ɾ a i z a
おうぶん	o b ɯ ɴ
けいこう	k e k o
みおとす	mʲ i o t o s ɨ
すてがな	s ɨ t e ɡ a n a
アウグストゥス	a ɯ ɡ ɯ s ɨ t ɯ s ɨ
コントラルト	k õ n t o ɾ a ɾ ɯ t o
しょうてき	ɕ o t e kʲ i
きょうらくてき	kʲ o ɾ a k ɯ t e kʲ i
スポーツブラ	s ɨ p o t͡s ɨ b ɯ ɾ a
ホモビデオ	h o m o bʲ i d e o
おうきゅう	o kʲ ɨ
どうぶつがく	d o b ɯ t͡s ɨ ɡ a k ɯ
きりんじ	kʲ i ɾʲ ĩ ɲ d͡ʑ i
コンドーム	k õ n d o m ɯ
ファクター	ɸ a k ɯ t a
ファームウエア	ɸ a m ɯ ɯ e a
まえだれ	m a e d a ɾ e
ミーティング	mʲ i tʲ ĩ ŋ ɡ ɯ
ザーメン	d͡z a m ẽ ɴ
けいり	k e ɾʲ i
さんみゃくさんぼだい	s ã mʲ a k ɯ s ã m b o d a i
にくよく	ɲ i k ɯ j o k ɯ
はじめる	h a ʑ i m e ɾ ɯ
いちれい	i t͡ɕ i ɾ e
きょう	kʲ o
げんしりょく	ɡ ẽ ɰ ɕ i ɾʲ o k ɯ
はこびこむ	h a k o bʲ i k o m ɯ
ファッション・ショー	ɸ a ɕ õ ɰ ɕ o
くらべものにならない	k ɯ ɾ a b e m o n o ɲ i n a ɾ a n a i
すいせん	s ɨ i s ẽ ɴ
くれたけ	k ɯ ɾ e t a k e
セレン	s e ɾ ẽ ɴ
にゅうきん	ɲ ɯ kʲ ĩ ɴ
れんぽう	ɾ ẽ m p o
やけど	j a k e d o
しゅつがんしゃ	ɕ ɨ t͡s ɨ ɡ ã ɰ ɕ a
てごめ	t e ɡ o m e
ラッフル	ɾ a ɸ ɯ ɾ ɯ
ちゅうとう	t͡ɕ ɨ t o
ジッパー	d͡ʑ i p̚ p a
よろける	j o ɾ o k e ɾ ɯ
ペビバイト	p e bʲ i b a i t o
じゅうにしちょう	d͡ʑ ɨ ɲ i ɕ i t͡ɕ o
フランネル	ɸ ɯ ɾ ã n e ɾ ɯ
じょうわんこつ	d͡ʑ o ɰ ã ŋ k o t͡s ɨ
やまわさび	j a m a ɰ a s a bʲ i
ふとうこう	ɸ ɯ t o k o
しかも	ɕ i k a m o
きたかいきせん	kʲ i t a k a i kʲ i s ẽ ɴ
ざいらいせん	d͡z a i ɾ a i s ẽ ɴ
ふんまつ	ɸ ɯ m a t͡s ɨ
オカズ	o k a z ɨ
ろめんでんしゃ	ɾ o m ẽ n d ẽ ɰ ɕ a
フード	ɸ ɯ d o
きび	kʲ i bʲ i
まず	m a z ɨ
パーセク	p a s e k ɯ
シアトル	ɕ i a t o ɾ ɯ
きょうつうてん	ɾ ɯ i ʑ i t ẽ ɴ
みずそこ	mʲ i z ɨ s o k o
こうなん	k o n ã ɴ
ステラジアン	s ɨ t e ɾ a ʑ i ã ɴ
せんど	s ẽ n d o
みぶんそうおう	mʲ i b ɯ ɰ s o o
わなわ	ɰ a n a ɰ a
そごうこう	s o ɡ o k o
おおやまねこ	o j a m a n e k o
しらかゆ	ɕ i ɾ a k a j ɯ
だきょう	d a kʲ o
ファームウェア	ɸ a m ɯ ɰ e a
おなが	o n a ɡ a
ひっくりかえす	ç i k̚ k ɯ ɾʲ i k a e s ɨ
とりもつ	t o ɾʲ i m o t͡s ɨ
アビシニアン	a bʲ i ɕ i ɲ i ã ɴ
こうが	k o ɡ a
こころなしか	k o k o ɾ o n a ɕ i k a
ふつま	ɸ ɯ t͡s ɯ m a
ほうやく	h o j a k ɯ
れきしてき	ɾ e kʲ i ɕ i t e kʲ i
まさかり	e t͡s ɨ
どべい	d o b e
ゔぉ	b o
かなう	k a n a ɯ
